State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
District of Columbia,3/14/2020,"1,213",3/7/2020,"6,746","578,035",1.17
District of Columbia,3/21/2020,"14,462",3/14/2020,"7,378","578,035",1.28
District of Columbia,3/28/2020,"15,869",3/21/2020,"17,661","578,035",3.06
District of Columbia,4/4/2020,"15,329",3/28/2020,"31,385","578,035",5.43
District of Columbia,4/11/2020,"9,974",4/4/2020,"42,224","579,419",7.29
District of Columbia,4/18/2020,"8,639",4/11/2020,"47,465","579,419",8.19
District of Columbia,4/25/2020,"8,708",4/18/2020,"52,534","579,419",9.07
District of Columbia,5/2/2020,"8,113",4/25/2020,"58,634","579,419",10.12
District of Columbia,5/9/2020,"5,782",5/2/2020,"65,298","579,419",11.27
District of Columbia,5/16/2020,"5,196",5/9/2020,"68,844","579,419",11.88
District of Columbia,5/23/2020,"5,135",5/16/2020,"70,103","579,419",12.1
District of Columbia,5/30/2020,"3,559",5/23/2020,"70,671","579,419",12.2
District of Columbia,6/6/2020,"3,385",5/30/2020,"72,023","579,419",12.43
District of Columbia,6/13/2020,"3,065",6/6/2020,"72,934","579,419",12.59
District of Columbia,6/20/2020,"3,073",6/13/2020,"72,927","579,419",12.59
District of Columbia,6/27/2020,"3,132",6/20/2020,"72,807","579,419",12.57
District of Columbia,7/4/2020,"2,858",6/27/2020,"72,802","579,419",12.56
District of Columbia,7/11/2020,"3,300",7/4/2020,"72,525","580,956",12.48
District of Columbia,7/18/2020,"3,053",7/11/2020,"73,115","580,956",12.59
District of Columbia,7/25/2020,"2,712",7/18/2020,"72,710","580,956",12.52
District of Columbia,8/1/2020,"2,250",7/25/2020,"72,931","580,956",12.55
District of Columbia,8/8/2020,"1,797",8/1/2020,"70,887","580,956",12.2
District of Columbia,8/15/2020,"1,979",8/8/2020,"69,640","580,956",11.99
District of Columbia,8/22/2020,"1,645",8/15/2020,"68,248","580,956",11.75
District of Columbia,8/29/2020,"1,468",8/22/2020,"66,870","580,956",11.51
District of Columbia,9/5/2020,"1,493",8/29/2020,"65,456","580,956",11.27
District of Columbia,9/12/2020,"1,460",9/5/2020,"65,671","580,956",11.3
District of Columbia,9/19/2020,"1,549",9/12/2020,"64,903","580,956",11.17
District of Columbia,9/26/2020,"1,889",9/19/2020,"60,168","580,956",10.36
District of Columbia,10/3/2020,"1,649",9/26/2020,"53,110","580,956",9.14
District of Columbia,10/10/2020,"1,912",10/3/2020,"49,067","583,160",8.41
District of Columbia,10/17/2020,"1,559",10/10/2020,"45,879","583,160",7.87
District of Columbia,10/24/2020,"1,473",10/17/2020,"41,417","583,160",7.1
District of Columbia,10/31/2020,"1,347",10/24/2020,"37,760","583,160",6.48
Florida,1/4/2020,"4,618",12/28/2019,"36,189","8,608,066",0.42
Florida,1/11/2020,"6,862",1/4/2020,"35,024","8,604,277",0.41
Florida,1/18/2020,"6,088",1/11/2020,"34,718","8,604,277",0.4
Florida,1/25/2020,"5,206",1/18/2020,"33,347","8,604,277",0.39
Florida,2/1/2020,"5,457",1/25/2020,"35,871","8,604,277",0.42
Florida,2/8/2020,"5,605",2/1/2020,"33,176","8,604,277",0.39
Florida,2/15/2020,"5,229",2/8/2020,"34,449","8,604,277",0.4
Florida,2/22/2020,"4,861",2/15/2020,"33,570","8,604,277",0.39
Florida,2/29/2020,"4,853",2/22/2020,"33,421","8,604,277",0.39
Florida,3/7/2020,"5,325",2/29/2020,"32,262","8,604,277",0.37
Florida,3/14/2020,"6,463",3/7/2020,"32,244","8,604,277",0.37
Florida,3/21/2020,"74,313",3/14/2020,"33,728","8,604,277",0.39
Florida,3/28/2020,"228,484",3/21/2020,"35,076","8,604,277",0.41
Florida,4/4/2020,"169,885",3/28/2020,"98,921","8,604,277",1.15
Florida,4/11/2020,"180,419",4/4/2020,"339,448","8,590,846",3.95
Florida,4/18/2020,"506,670",4/11/2020,"177,021","8,590,846",2.06
Florida,4/25/2020,"433,103",4/18/2020,"540,554","8,590,846",6.29
Florida,5/2/2020,"174,860",4/25/2020,"444,561","8,590,846",5.17
Florida,5/9/2020,"223,082",5/2/2020,"1,035,207","8,590,846",12.05
Florida,5/16/2020,"225,404",5/9/2020,"2,151,108","8,590,846",25.04
Florida,5/23/2020,"175,411",5/16/2020,"529,384","8,590,846",6.16
Florida,5/30/2020,"207,707",5/23/2020,"630,640","8,590,846",7.34
Florida,6/6/2020,"112,161",5/30/2020,"966,625","8,590,846",11.25
Florida,6/13/2020,"88,148",6/6/2020,"920,202","8,590,846",10.71
Florida,6/20/2020,"95,683",6/13/2020,"995,792","8,590,846",11.59
Florida,6/27/2020,"84,370",6/20/2020,"741,344","8,590,846",8.63
Florida,7/4/2020,"66,941",6/27/2020,"581,952","8,590,846",6.77
Florida,7/11/2020,"132,831",7/4/2020,"914,801","8,732,627",10.48
Florida,7/18/2020,"108,976",7/11/2020,"748,004","8,732,627",8.57
Florida,7/25/2020,"91,462",7/18/2020,"691,070","8,732,627",7.91
Florida,8/1/2020,"78,286",7/25/2020,"631,163","8,732,627",7.23
Florida,8/8/2020,"61,584",8/1/2020,"567,987","8,732,627",6.5
Florida,8/15/2020,"72,774",8/8/2020,"512,527","8,732,627",5.87
Florida,8/22/2020,"51,647",8/15/2020,"458,954","8,732,627",5.26
Florida,8/29/2020,"45,590",8/22/2020,"455,587","8,732,627",5.22
Florida,9/5/2020,"40,256",8/29/2020,"410,406","8,732,627",4.7
Florida,9/12/2020,"37,265",9/5/2020,"414,174","8,732,627",4.74
Florida,9/19/2020,"39,028",9/12/2020,"374,181","8,732,627",4.28
Florida,9/26/2020,"32,373",9/19/2020,"373,194","8,732,627",4.27
Florida,10/3/2020,"42,306",9/26/2020,"337,344","8,769,716",3.85
Florida,10/10/2020,"47,904",10/3/2020,"300,115","8,769,716",3.42
Florida,10/17/2020,"40,070",10/10/2020,"287,537","8,769,716",3.28
Florida,10/24/2020,"33,542",10/17/2020,"282,261","8,769,716",3.22
Florida,10/31/2020,"31,625",10/24/2020,"213,454","8,769,716",2.43
Georgia,1/4/2020,"17,060",12/28/2019,"38,704","4,353,840",0.89
Georgia,1/11/2020,"17,962",1/4/2020,"47,482","4,373,059",1.09
Georgia,1/18/2020,"8,161",1/11/2020,"32,079","4,373,059",0.73
Georgia,1/25/2020,"5,257",1/18/2020,"28,998","4,373,059",0.66
Georgia,2/1/2020,"5,199",1/25/2020,"28,332","4,373,059",0.65
Georgia,2/8/2020,"5,577",2/1/2020,"26,984","4,373,059",0.62
Georgia,2/15/2020,"6,277",2/8/2020,"27,317","4,373,059",0.62
Georgia,2/22/2020,"5,030",2/15/2020,"26,963","4,373,059",0.62
Georgia,2/29/2020,"5,538",2/22/2020,"26,958","4,373,059",0.62
Georgia,3/7/2020,"4,569",2/29/2020,"25,079","4,373,059",0.57
Georgia,3/14/2020,"5,445",3/7/2020,"25,352","4,373,059",0.58
Georgia,3/21/2020,"12,140",3/14/2020,"27,507","4,373,059",0.63
Georgia,3/28/2020,"133,820",3/21/2020,"107,877","4,373,059",2.47
Georgia,4/4/2020,"390,132",3/28/2020,"360,077","4,373,059",8.23
Georgia,4/11/2020,"319,581",4/4/2020,"595,418","4,388,404",13.57
Georgia,4/18/2020,"247,003",4/11/2020,"611,889","4,388,404",13.94
Georgia,4/25/2020,"266,565",4/18/2020,"758,856","4,388,404",17.29
Georgia,5/2/2020,"228,352",4/25/2020,"885,764","4,388,404",20.18
Georgia,5/9/2020,"242,772",5/2/2020,"812,913","4,388,404",18.52
Georgia,5/16/2020,"177,731",5/9/2020,"790,178","4,388,404",18.01
Georgia,5/23/2020,"165,499",5/16/2020,"731,762","4,388,404",16.67
Georgia,5/30/2020,"149,163",5/23/2020,"754,833","4,388,404",17.2
Georgia,6/6/2020,"135,254",5/30/2020,"698,154","4,388,404",15.91
Georgia,6/13/2020,"131,997",6/6/2020,"682,501","4,388,404",15.55
Georgia,6/20/2020,"125,725",6/13/2020,"669,735","4,388,404",15.26
Georgia,6/27/2020,"117,485",6/20/2020,"661,233","4,388,404",15.07
Georgia,7/4/2020,"105,160",6/27/2020,"619,947","4,388,404",14.13
Georgia,7/11/2020,"138,452",7/4/2020,"792,717","4,406,223",17.99
Georgia,7/18/2020,"122,313",7/11/2020,"703,153","4,406,223",15.96
Georgia,7/25/2020,"84,984",7/18/2020,"636,912","4,406,223",14.45
Georgia,8/1/2020,"73,931",7/25/2020,"633,988","4,406,223",14.39
Georgia,8/8/2020,"62,335",8/1/2020,"572,455","4,406,223",12.99
Georgia,8/15/2020,"58,099",8/8/2020,"555,479","4,406,223",12.61
Georgia,8/22/2020,"56,768",8/15/2020,"553,713","4,406,223",12.57
Georgia,8/29/2020,"51,283",8/22/2020,"535,406","4,406,223",12.15
Georgia,9/5/2020,"50,320",8/29/2020,"523,143","4,406,223",11.87
Georgia,9/12/2020,"42,085",9/5/2020,"498,813","4,406,223",11.32
Georgia,9/19/2020,"49,421",9/12/2020,"536,886","4,406,223",12.18
Georgia,9/26/2020,"43,526",9/19/2020,"478,732","4,406,223",10.86
Georgia,10/3/2020,"44,874",9/26/2020,"445,039","4,406,223",10.1
Georgia,10/10/2020,"54,166",10/3/2020,"409,602","4,419,929",9.27
Georgia,10/17/2020,"44,892",10/10/2020,"367,949","4,419,929",8.32
Georgia,10/24/2020,"43,695",10/17/2020,"336,738","4,419,929",7.62
Georgia,10/31/2020,"37,253",10/24/2020,"302,039","4,419,929",6.83
Hawaii,1/4/2020,"1,825",12/28/2019,"6,813","623,074",1.09
Hawaii,1/11/2020,"1,826",1/4/2020,"7,849","621,949",1.26
Hawaii,1/18/2020,"1,234",1/11/2020,"6,623","621,949",1.06
Hawaii,1/25/2020,"1,014",1/18/2020,"6,407","621,949",1.03
Hawaii,2/1/2020,"1,135",1/25/2020,"6,070","621,949",0.98
Hawaii,2/8/2020,"1,137",2/1/2020,"6,205","621,949",1
Hawaii,2/15/2020,"1,199",2/8/2020,"6,121","621,949",0.98
Hawaii,2/22/2020,"1,020",2/15/2020,"6,223","621,949",1
Hawaii,2/29/2020,"1,049",2/22/2020,"5,951","621,949",0.96
Hawaii,3/7/2020,"1,275",2/29/2020,"6,047","621,949",0.97
Hawaii,3/14/2020,"1,589",3/7/2020,"6,204","621,949",1
Hawaii,3/21/2020,"8,817",3/14/2020,"6,477","621,949",1.04
Hawaii,3/28/2020,"48,596",3/21/2020,"10,997","621,949",1.77
Hawaii,4/4/2020,"53,102",3/28/2020,"32,226","621,949",5.18
Hawaii,4/11/2020,"34,717",4/4/2020,"48,305","621,474",7.77
Hawaii,4/18/2020,"26,591",4/11/2020,"72,261","621,474",11.63
Hawaii,4/25/2020,"22,496",4/18/2020,"68,637","621,474",11.04
Hawaii,5/2/2020,"15,177",4/25/2020,"88,110","621,474",14.18
Hawaii,5/9/2020,"12,329",5/2/2020,"110,922","621,474",17.85
Hawaii,5/16/2020,"10,964",5/9/2020,"145,711","621,474",23.45
Hawaii,5/23/2020,"9,140",5/16/2020,"128,086","621,474",20.61
Hawaii,5/30/2020,"7,702",5/23/2020,"124,939","621,474",20.1
Hawaii,6/6/2020,"7,338",5/30/2020,"125,568","621,474",20.2
Hawaii,6/13/2020,"7,248",6/6/2020,"114,119","621,474",18.36
Hawaii,6/20/2020,"7,178",6/13/2020,"132,466","621,474",21.31
Hawaii,6/27/2020,"8,193",6/20/2020,"128,990","621,474",20.76
Hawaii,7/4/2020,"7,648",6/27/2020,"123,633","621,474",19.89
Hawaii,7/11/2020,"7,668",7/4/2020,"128,650","620,739",20.73
Hawaii,7/18/2020,"7,581",7/11/2020,"130,769","620,739",21.07
Hawaii,7/25/2020,"5,885",7/18/2020,"130,209","620,739",20.98
Hawaii,8/1/2020,"5,049",7/25/2020,"131,338","620,739",21.16
Hawaii,8/8/2020,"5,296",8/1/2020,"123,924","620,739",19.96
Hawaii,8/15/2020,"5,493",8/8/2020,"123,282","620,739",19.86
Hawaii,8/22/2020,"5,775",8/15/2020,"115,430","620,739",18.6
Hawaii,8/29/2020,"6,748",8/22/2020,"126,112","620,739",20.32
Hawaii,9/5/2020,"7,464",8/29/2020,"126,406","620,739",20.36
Hawaii,9/12/2020,"7,307",9/5/2020,"123,117","620,739",19.83
Hawaii,9/19/2020,"6,757",9/12/2020,"132,614","620,739",21.36
Hawaii,9/26/2020,"5,682",9/19/2020,"124,618","620,739",20.08
Hawaii,10/3/2020,"5,083",9/26/2020,"111,316","620,739",17.93
Hawaii,10/10/2020,"4,873",10/3/2020,"92,670","621,065",14.92
Hawaii,10/17/2020,"5,104",10/10/2020,"78,241","621,065",12.6
Hawaii,10/24/2020,"4,906",10/17/2020,"70,497","621,065",11.35
Hawaii,10/31/2020,"4,689",10/24/2020,"61,285","621,065",9.87
Idaho,1/4/2020,"2,957",12/28/2019,"8,854","722,812",1.22
Idaho,1/11/2020,"2,131",1/4/2020,"11,483","727,996",1.58
Idaho,1/18/2020,"2,172",1/11/2020,"11,931","727,996",1.64
Idaho,1/25/2020,"1,821",1/18/2020,"11,833","727,996",1.63
Idaho,2/1/2020,"1,446",1/25/2020,"11,337","727,996",1.56
Idaho,2/8/2020,"1,443",2/1/2020,"11,389","727,996",1.56
Idaho,2/15/2020,"1,356",2/8/2020,"11,334","727,996",1.56
Idaho,2/22/2020,"1,114",2/15/2020,"11,275","727,996",1.55
Idaho,2/29/2020,998,2/22/2020,"10,587","727,996",1.45
Idaho,3/7/2020,938,2/29/2020,"10,167","727,996",1.4
Idaho,3/14/2020,"1,031",3/7/2020,"9,336","727,996",1.28
Idaho,3/21/2020,"13,586",3/14/2020,"7,869","727,996",1.08
Idaho,3/28/2020,"32,941",3/21/2020,"15,523","727,996",2.13
Idaho,4/4/2020,"30,904",3/28/2020,"35,915","727,996",4.93
Idaho,4/11/2020,"18,531",4/4/2020,"59,139","733,499",8.06
Idaho,4/18/2020,"13,023",4/11/2020,"67,722","733,499",9.23
Idaho,4/25/2020,"8,827",4/18/2020,"71,416","733,499",9.74
Idaho,5/2/2020,"7,495",4/25/2020,"71,794","733,499",9.79
Idaho,5/9/2020,"5,795",5/2/2020,"65,478","733,499",8.93
Idaho,5/16/2020,"5,800",5/9/2020,"60,121","733,499",8.2
Idaho,5/23/2020,"4,727",5/16/2020,"56,692","733,499",7.73
Idaho,5/30/2020,"3,646",5/23/2020,"51,035","733,499",6.96
Idaho,6/6/2020,"3,953",5/30/2020,"47,779","733,499",6.51
Idaho,6/13/2020,"3,631",6/6/2020,"36,764","733,499",5.01
Idaho,6/20/2020,"4,285",6/13/2020,"33,060","733,499",4.51
Idaho,6/27/2020,"5,417",6/20/2020,"30,886","733,499",4.21
Idaho,7/4/2020,"4,924",6/27/2020,"29,090","733,499",3.97
Idaho,7/11/2020,"5,458",7/4/2020,"28,766","744,799",3.86
Idaho,7/18/2020,"5,687",7/11/2020,"27,622","744,799",3.71
Idaho,7/25/2020,"4,703",7/18/2020,"26,445","744,799",3.55
Idaho,8/1/2020,"3,607",7/25/2020,"25,369","744,799",3.41
Idaho,8/8/2020,"3,250",8/1/2020,"20,263","744,799",2.72
Idaho,8/15/2020,"3,644",8/8/2020,"18,772","744,799",2.52
Idaho,8/22/2020,"3,794",8/15/2020,"16,414","744,799",2.2
Idaho,8/29/2020,"3,686",8/22/2020,"14,423","744,799",1.94
Idaho,9/5/2020,"3,804",8/29/2020,"13,021","744,799",1.75
Idaho,9/12/2020,"3,672",9/5/2020,"11,510","744,799",1.55
Idaho,9/19/2020,"3,437",9/12/2020,"10,708","744,799",1.44
Idaho,9/26/2020,"2,995",9/19/2020,"9,895","744,799",1.33
Idaho,10/3/2020,"2,955",9/26/2020,"9,144","744,799",1.23
Idaho,10/10/2020,"3,519",10/3/2020,"8,386","744,780",1.13
Idaho,10/17/2020,"3,293",10/10/2020,"8,215","744,780",1.1
Idaho,10/24/2020,"3,863",10/17/2020,"8,024","744,780",1.08
Idaho,10/31/2020,"3,919",10/24/2020,"8,124","744,780",1.09
Illinois,1/4/2020,"11,779",12/28/2019,"125,348","5,902,475",2.12
Illinois,1/11/2020,"12,703",1/4/2020,"136,523","5,910,898",2.31
Illinois,1/18/2020,"14,807",1/11/2020,"133,967","5,910,898",2.27
Illinois,1/25/2020,"9,762",1/18/2020,"131,469","5,910,898",2.22
Illinois,2/1/2020,"9,343",1/25/2020,"143,239","5,910,898",2.42
Illinois,2/8/2020,"9,794",2/1/2020,"130,900","5,910,898",2.21
Illinois,2/15/2020,"8,045",2/8/2020,"133,765","5,910,898",2.26
Illinois,2/22/2020,"11,812",2/15/2020,"131,171","5,910,898",2.22
Illinois,2/29/2020,"8,980",2/22/2020,"132,123","5,910,898",2.24
Illinois,3/7/2020,"8,727",2/29/2020,"136,396","5,910,898",2.31
Illinois,3/14/2020,"11,305",3/7/2020,"130,293","5,910,898",2.2
Illinois,3/21/2020,"126,716",3/14/2020,"125,422","5,910,898",2.12
Illinois,3/28/2020,"185,575",3/21/2020,"132,058","5,910,898",2.23
Illinois,4/4/2020,"202,157",3/28/2020,"263,018","5,910,898",4.45
Illinois,4/11/2020,"140,787",4/4/2020,"452,826","5,914,575",7.66
Illinois,4/18/2020,"118,996",4/11/2020,"569,200","5,914,575",9.62
Illinois,4/25/2020,"101,322",4/18/2020,"681,002","5,914,575",11.51
Illinois,5/2/2020,"74,476",4/25/2020,"695,971","5,914,575",11.77
Illinois,5/9/2020,"72,671",5/2/2020,"755,912","5,914,575",12.78
Illinois,5/16/2020,"72,780",5/9/2020,"733,542","5,914,575",12.4
Illinois,5/23/2020,"58,263",5/16/2020,"762,367","5,914,575",12.89
Illinois,5/30/2020,"46,385",5/23/2020,"719,779","5,914,575",12.17
Illinois,6/6/2020,"44,606",5/30/2020,"741,738","5,914,575",12.54
Illinois,6/13/2020,"44,694",6/6/2020,"710,279","5,914,575",12.01
Illinois,6/20/2020,"46,276",6/13/2020,"705,839","5,914,575",11.93
Illinois,6/27/2020,"45,752",6/20/2020,"676,722","5,914,575",11.44
Illinois,7/4/2020,"39,015",6/27/2020,"667,460","5,914,575",11.29
Illinois,7/11/2020,"38,261",7/4/2020,"664,763","5,917,347",11.23
Illinois,7/18/2020,"36,435",7/11/2020,"655,951","5,917,347",11.09
Illinois,7/25/2020,"33,230",7/18/2020,"648,727","5,917,347",10.96
Illinois,8/1/2020,"25,274",7/25/2020,"631,032","5,917,347",10.66
Illinois,8/8/2020,"22,934",8/1/2020,"617,131","5,917,347",10.43
Illinois,8/15/2020,"22,406",8/8/2020,"604,288","5,917,347",10.21
Illinois,8/22/2020,"26,262",8/15/2020,"593,305","5,917,347",10.03
Illinois,8/29/2020,"26,194",8/22/2020,"558,651","5,917,347",9.44
Illinois,9/5/2020,"25,478",8/29/2020,"552,436","5,917,347",9.34
Illinois,9/12/2020,"27,384",9/5/2020,"507,880","5,917,347",8.58
Illinois,9/19/2020,"25,976",9/12/2020,"536,818","5,917,347",9.07
Illinois,9/26/2020,"29,390",9/19/2020,"502,314","5,917,347",8.49
Illinois,10/3/2020,"36,267",9/26/2020,"483,981","5,917,347",8.18
Illinois,10/10/2020,"47,528",10/3/2020,"447,060","5,919,664",7.55
Illinois,10/17/2020,"46,948",10/10/2020,"402,230","5,919,664",6.79
Illinois,10/24/2020,"53,138",10/17/2020,"379,952","5,919,664",6.42
Illinois,10/31/2020,"73,515",10/24/2020,"342,745","5,919,664",5.79
Indiana,1/4/2020,"4,434",12/28/2019,"20,062","3,034,091",0.66
Indiana,1/11/2020,"4,890",1/4/2020,"21,524","3,039,304",0.71
Indiana,1/18/2020,"3,741",1/11/2020,"21,626","3,039,304",0.71
Indiana,1/25/2020,"2,956",1/18/2020,"21,366","3,039,304",0.7
Indiana,2/1/2020,"3,016",1/25/2020,"22,017","3,039,304",0.72
Indiana,2/8/2020,"2,725",2/1/2020,"22,212","3,039,304",0.73
Indiana,2/15/2020,"2,556",2/8/2020,"22,352","3,039,304",0.74
Indiana,2/22/2020,"2,979",2/15/2020,"22,913","3,039,304",0.75
Indiana,2/29/2020,"2,276",2/22/2020,"22,994","3,039,304",0.76
Indiana,3/7/2020,"2,223",2/29/2020,"22,586","3,039,304",0.74
Indiana,3/14/2020,"2,596",3/7/2020,"21,473","3,039,304",0.71
Indiana,3/21/2020,"59,755",3/14/2020,"20,778","3,039,304",0.68
Indiana,3/28/2020,"139,174",3/21/2020,"28,987","3,039,304",0.95
Indiana,4/4/2020,"127,010",3/28/2020,"71,737","3,039,304",2.36
Indiana,4/11/2020,"113,755",4/4/2020,"147,583","3,041,986",4.85
Indiana,4/18/2020,"72,756",4/11/2020,"206,386","3,041,986",6.78
Indiana,4/25/2020,"55,774",4/18/2020,"253,929","3,041,986",8.35
Indiana,5/2/2020,"42,290",4/25/2020,"271,248","3,041,986",8.92
Indiana,5/9/2020,"29,668",5/2/2020,"285,460","3,041,986",9.38
Indiana,5/16/2020,"29,436",5/9/2020,"270,385","3,041,986",8.89
Indiana,5/23/2020,"25,523",5/16/2020,"253,536","3,041,986",8.33
Indiana,5/30/2020,"22,914",5/23/2020,"233,869","3,041,986",7.69
Indiana,6/6/2020,"22,931",5/30/2020,"221,056","3,041,986",7.27
Indiana,6/13/2020,"24,017",6/6/2020,"211,255","3,041,986",6.94
Indiana,6/20/2020,"29,331",6/13/2020,"201,242","3,041,986",6.62
Indiana,6/27/2020,"44,827",6/20/2020,"191,288","3,041,986",6.29
Indiana,7/4/2020,"22,102",6/27/2020,"183,968","3,041,986",6.05
Indiana,7/11/2020,"28,360",7/4/2020,"190,169","3,046,268",6.24
Indiana,7/18/2020,"17,911",7/11/2020,"190,854","3,046,268",6.27
Indiana,7/25/2020,"20,129",7/18/2020,"228,226","3,046,268",7.49
Indiana,8/1/2020,"12,551",7/25/2020,"223,895","3,046,268",7.35
Indiana,8/8/2020,"10,624",8/1/2020,"199,336","3,046,268",6.54
Indiana,8/15/2020,"11,569",8/8/2020,"183,083","3,046,268",6.01
Indiana,8/22/2020,"10,597",8/15/2020,"170,341","3,046,268",5.59
Indiana,8/29/2020,"10,779",8/22/2020,"164,569","3,046,268",5.4
Indiana,9/5/2020,"11,255",8/29/2020,"158,742","3,046,268",5.21
Indiana,9/12/2020,"13,245",9/5/2020,"164,615","3,046,268",5.4
Indiana,9/19/2020,"11,702",9/12/2020,"161,143","3,046,268",5.29
Indiana,9/26/2020,"10,209",9/19/2020,"150,463","3,046,268",4.94
Indiana,10/3/2020,"10,076",9/26/2020,"129,538","3,046,268",4.25
Indiana,10/10/2020,"17,916",10/3/2020,"118,930","3,034,402",3.92
Indiana,10/17/2020,"15,421",10/10/2020,"113,496","3,034,402",3.74
Indiana,10/24/2020,"13,407",10/17/2020,"103,977","3,034,402",3.43
Indiana,10/31/2020,"13,413",10/24/2020,"96,385","3,034,402",3.18
Iowa,1/4/2020,"4,586",12/28/2019,"34,549","1,529,213",2.26
Iowa,1/11/2020,"4,836",1/4/2020,"34,540","1,530,920",2.26
Iowa,1/18/2020,"3,615",1/11/2020,"29,625","1,530,920",1.94
Iowa,1/25/2020,"3,115",1/18/2020,"30,369","1,530,920",1.98
Iowa,2/1/2020,"3,066",1/25/2020,"30,890","1,530,920",2.02
Iowa,2/8/2020,"2,379",2/1/2020,"30,789","1,530,920",2.01
Iowa,2/15/2020,"2,239",2/8/2020,"30,799","1,530,920",2.01
Iowa,2/22/2020,"2,631",2/15/2020,"30,741","1,530,920",2.01
Iowa,2/29/2020,"2,240",2/22/2020,"30,516","1,530,920",1.99
Iowa,3/7/2020,"2,221",2/29/2020,"29,424","1,530,920",1.92
Iowa,3/14/2020,"2,229",3/7/2020,"27,816","1,530,920",1.82
Iowa,3/21/2020,"40,952",3/14/2020,"26,496","1,530,920",1.73
Iowa,3/28/2020,"55,966",3/21/2020,"53,650","1,530,920",3.5
Iowa,4/4/2020,"64,194",3/28/2020,"91,631","1,530,920",5.99
Iowa,4/11/2020,"43,889",4/4/2020,"127,332","1,531,621",8.31
Iowa,4/18/2020,"26,901",4/11/2020,"150,445","1,531,621",9.82
Iowa,4/25/2020,"27,220",4/18/2020,"168,971","1,531,621",11.03
Iowa,5/2/2020,"23,241",4/25/2020,"179,610","1,531,621",11.73
Iowa,5/9/2020,"15,820",5/2/2020,"189,643","1,531,621",12.38
Iowa,5/16/2020,"12,056",5/9/2020,"184,641","1,531,621",12.06
Iowa,5/23/2020,"13,723",5/16/2020,"178,559","1,531,621",11.66
Iowa,5/30/2020,"6,449",5/23/2020,"162,562","1,531,621",10.61
Iowa,6/6/2020,"9,488",5/30/2020,"158,268","1,531,621",10.33
Iowa,6/13/2020,"9,069",6/6/2020,"152,739","1,531,621",9.97
Iowa,6/20/2020,"8,208",6/13/2020,"152,781","1,531,621",9.98
Iowa,6/27/2020,"7,732",6/20/2020,"141,748","1,531,621",9.25
Iowa,7/4/2020,"9,957",6/27/2020,"134,215","1,531,621",8.76
Iowa,7/11/2020,"10,653",7/4/2020,"134,284","1,532,562",8.76
Iowa,7/18/2020,"8,807",7/11/2020,"115,930","1,532,562",7.56
Iowa,7/25/2020,"6,970",7/18/2020,"110,042","1,532,562",7.18
Iowa,8/1/2020,"6,314",7/25/2020,"104,316","1,532,562",6.81
Iowa,8/8/2020,"4,888",8/1/2020,"92,100","1,532,562",6.01
Iowa,8/15/2020,"5,997",8/8/2020,"82,442","1,532,562",5.38
Iowa,8/22/2020,"6,384",8/15/2020,"83,312","1,532,562",5.44
Iowa,8/29/2020,"5,914",8/22/2020,"75,877","1,532,562",4.95
Iowa,9/5/2020,"5,252",8/29/2020,"70,953","1,532,562",4.63
Iowa,9/12/2020,"4,652",9/5/2020,"65,422","1,532,562",4.27
Iowa,9/19/2020,"6,117",9/12/2020,"62,938","1,532,562",4.11
Iowa,9/26/2020,"4,616",9/19/2020,"58,419","1,532,562",3.81
Iowa,10/3/2020,"4,288",9/26/2020,"51,560","1,532,562",3.36
Iowa,10/10/2020,"4,192",10/3/2020,"46,409","1,535,919",3.02
Iowa,10/17/2020,"4,215",10/10/2020,"42,103","1,535,919",2.74
Iowa,10/24/2020,"4,351",10/17/2020,"39,825","1,535,919",2.59
Iowa,10/31/2020,"4,609",10/24/2020,"36,982","1,535,919",2.41
Kansas,1/4/2020,"2,019",12/28/2019,"11,175","1,359,781",0.82
Kansas,1/11/2020,"2,140",1/4/2020,"11,431","1,363,114",0.84
Kansas,1/18/2020,"2,402",1/11/2020,"10,638","1,363,114",0.78
Kansas,1/25/2020,"2,557",1/18/2020,"11,182","1,363,114",0.82
Kansas,2/1/2020,"2,000",1/25/2020,"12,301","1,363,114",0.9
Kansas,2/8/2020,"2,107",2/1/2020,"11,809","1,363,114",0.87
Kansas,2/15/2020,"2,076",2/8/2020,"11,666","1,363,114",0.86
Kansas,2/22/2020,"1,494",2/15/2020,"12,003","1,363,114",0.88
Kansas,2/29/2020,"1,517",2/22/2020,"11,505","1,363,114",0.84
Kansas,3/7/2020,"1,365",2/29/2020,"11,003","1,363,115",0.81
Kansas,3/14/2020,"1,755",3/7/2020,"9,771","1,363,114",0.72
Kansas,3/21/2020,"23,563",3/14/2020,"9,973","1,363,114",0.73
Kansas,3/28/2020,"54,330",3/21/2020,"17,558","1,363,114",1.29
Kansas,4/4/2020,"49,306",3/28/2020,"51,425","1,363,114",3.77
Kansas,4/11/2020,"29,873",4/4/2020,"78,334","1,364,944",5.74
Kansas,4/18/2020,"30,596",4/11/2020,"97,478","1,364,944",7.14
Kansas,4/25/2020,"24,483",4/18/2020,"119,022","1,364,944",8.72
Kansas,5/2/2020,"15,959",4/25/2020,"120,701","1,364,944",8.84
Kansas,5/9/2020,"12,234",5/2/2020,"117,977","1,364,944",8.64
Kansas,5/16/2020,"11,238",5/9/2020,"108,565","1,364,944",7.95
